0	14	0	1
1	17	0	1
2	22	1	0
3	17	1	1
4	24	2	0
5	10	2	0
6	17	2	1
7	20	2	2
8	18	2	3
9	27	3	2
10	17	3	3
11	16	3	4
12	25	4	3
13	16	4	3
14	20	4	4
15	19	4	5
16	26	5	4
17	27	6	3
18	20	6	4
19	12	6	4
20	17	6	5
21	17	6	6
22	13	6	7
23	17	6	8
24	23	6	9
25	21	7	8
26	12	7	9
27	24	8	8
28	12	8	8
29	18	8	9
30	18	8	10
31	16	8	11
32	10	8	11
33	27	8	12
34	19	8	13
35	24	9	12
36	25	10	11
37	30	10	12
38	16	10	13
39	20	10	14
40	35	10	15
41	18	10	16
42	20	10	16
43	19	11	15
44	13	11	16
45	19	11	17
46	33	12	16
47	20	12	17
48	25	13	16
49	19	13	17
50	24	14	16
51	21	14	17
52	34	14	18
53	13	14	18
54	24	15	17
55	18	15	18
56	13	15	19
57	13	15	20
58	9	15	20
59	12	15	21
60	21	15	22
61	17	15	23
62	14	15	24
63	12	15	25
64	14	15	26
65	12	15	26
66	20	16	25
67	17	16	26
68	23	17	25
69	16	18	24
70	28	18	25
71	10	18	25
72	10	18	26
73	19	19	25
74	12	19	26
75	17	19	27
76	14	19	28
77	27	19	29
78	34	19	30
79	20	20	29
