0	12	15	57
1	6	16	56
2	6	15	56
3	18	16	56
4	10	15	123
5	10	18	76
6	13	23	69
7	15	19	74
8	8	20	61
9	9	14	57
10	6	23	56
11	7	16	56
12	11	15	56
13	8	14	55
14	9	23	57
15	26	14	60
16	6	21	57
17	12	16	55
18	9	23	56
19	9	14	58
20	10	15	57
21	13	15	57
22	10	22	56
23	9	23	64
24	10	14	57
25	11	11	56
26	5	14	70
27	10	21	58
28	10	14	56
29	9	14	56
30	9	23	55
31	5	11	56
32	6	22	58
33	9	14	57
34	10	22	55
35	10	22	56
36	11	21	164
37	22	15	227
38	12	15	60
39	10	21	58
40	10	21	57
41	12	11	61
42	11	16	62
43	9	11	57
44	12	11	55
45	9	11	73
46	10	12	56
47	6	12	55
48	10	14	56
49	11	14	55
50	9	16	56
51	10	22	56
52	10	14	56
53	11	14	57
54	9	23	57
55	10	22	55
56	9	11	56
57	11	32	58
58	11	22	56
59	9	12	59
60	10	23	55
61	10	11	57
62	14	22	56
63	11	12	56
64	10	22	56
65	10	11	56
66	11	12	55
67	10	12	55
68	10	22	91
69	14	14	73
70	13	17	74
71	14	15	75
72	18	26	75
73	17	14	57
74	12	12	58
75	10	15	56
76	10	22	56
77	10	13	61
78	9	45	68
79	14	12	54
80	10	13	56
81	10	11	60
82	11	11	55
83	10	14	57
84	10	22	55
85	12	23	56
86	13	22	56
87	12	21	56
88	11	11	56
89	30	17	77
90	14	13	162
91	9	21	150
92	16	16	77
93	14	12	56
94	10	11	90
95	10	10	55
96	10	28	66
97	10	14	56
98	9	11	55
99	11	11	57
